#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-10-25
# Final Processing Time: 13:29:02
# Spline RMSE gcc_mean: 0.00385
# Spline RMSE gcc_50: 0.00374
# Spline RMSE gcc_75: 0.00405
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,falling,gcc_mean,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.38017,0.39109,0.41373,0.37569,0.44871
harvard,DB,1000,falling,gcc_mean,2019-10-22,2019-10-19,2019-10-13,2019-10-23,2019-10-20,2019-10-15,2019-10-20,2019-10-17,2019-10-12,0.37909,0.38849,0.41317,0.37082,0.45411
harvard,DB,1000,falling,gcc_mean,2018-11-03,2018-10-30,2018-10-20,2018-11-05,2018-11-01,2018-10-22,2018-11-01,2018-10-28,2018-10-17,0.38682,0.39818,0.41755,0.38038,0.4545
harvard,DB,1000,falling,gcc_mean,2017-11-04,2017-10-30,2017-10-22,2017-11-05,2017-10-31,2017-10-25,2017-11-01,2017-10-28,2017-10-21,0.38016,0.39346,0.41647,0.37491,0.45486
harvard,DB,1000,falling,gcc_mean,2016-10-27,2016-10-24,2016-10-15,2016-10-28,2016-10-25,2016-10-17,2016-10-25,2016-10-21,2016-10-14,0.38018,0.39055,0.41578,0.3724,0.45652
harvard,DB,1000,falling,gcc_mean,2015-10-26,2015-10-23,2015-10-17,2015-10-28,2015-10-24,2015-10-18,2015-10-24,2015-10-22,2015-10-16,0.37643,0.38767,0.41041,0.36831,0.45127
harvard,DB,1000,falling,gcc_mean,2014-10-21,2014-10-17,2014-10-10,2014-10-22,2014-10-18,2014-10-12,2014-10-19,2014-10-15,2014-10-09,0.37798,0.39112,0.4143,0.37163,0.45434
harvard,DB,1000,falling,gcc_mean,2013-10-18,2013-10-14,2013-10-03,2013-10-20,2013-10-15,2013-10-06,2013-10-16,2013-10-12,2013-10-01,0.38046,0.3908,0.41445,0.37286,0.4533
harvard,DB,1000,falling,gcc_mean,2012-10-18,2012-10-13,2012-10-05,2012-10-20,2012-10-14,2012-10-07,2012-10-16,2012-10-11,2012-10-03,0.37636,0.38841,0.40884,0.36932,0.4468
harvard,DB,1000,falling,gcc_mean,2011-10-28,2011-10-23,2011-10-11,2011-10-29,2011-10-24,2011-10-14,2011-10-25,2011-10-20,2011-10-09,0.37965,0.38977,0.41019,0.37429,0.44397
harvard,DB,1000,falling,gcc_mean,2010-10-19,2010-10-15,2010-10-05,2010-10-20,2010-10-16,2010-10-08,2010-10-17,2010-10-13,2010-10-04,0.36894,0.37923,0.40447,0.36242,0.44237
harvard,DB,1000,falling,gcc_mean,2009-10-22,2009-10-18,2009-10-10,2009-10-23,2009-10-19,2009-10-12,2009-10-20,2009-10-16,2009-10-08,0.36926,0.3836,0.40525,0.3639,0.44534
harvard,DB,1000,falling,gcc_mean,2008-10-22,2008-10-19,2008-10-13,2008-10-23,2008-10-20,2008-10-15,2008-10-20,2008-10-18,2008-10-12,0.36744,0.37898,0.40057,0.36023,0.43832
